NAME,PARTY,TOTAL VOTES,STATE,GENDER
RAJENDRA AGARWAL,BJP,586184,Uttar Pradesh,MALE
Anupriya Singh Patel,ADAL,591564,Uttar Pradesh,FEMALE
Ashok Kumar Rawat,BJP,534429,Uttar Pradesh,MALE
C LALROSANGA,MNF,224286,Mizoram,MALE
Kaushal Kishore,BJP,629999,Uttar Pradesh,MALE
Dr. S.T. HASAN,SP,649416,Uttar Pradesh,MALE
NARENDRA SINGH TOMAR,BJP,541689,Madhya Pradesh,MALE
Gopal Shetty,BJP,706678,Maharashtra,MALE
POONAM MAHAJAN,BJP,486672,Maharashtra,FEMALE
Manoj Kotak,BJP,514599,Maharashtra,MALE
Gajanan Kirtikar,SHS,570063,Maharashtra,MALE
Arvind Ganpat Sawant,SHS,421937,Maharashtra,MALE
Rahul Ramesh Shewale,SHS,424913,Maharashtra,MALE
RAJIV RANJAN SINGH ALIAS LALAN SINGH,JD(U),528762,Bihar,MALE
ABU TAHER KHAN,AITC,604346,West Bengal,MALE
Sanjeev Kumar Balyan,BJP,573780,Uttar Pradesh,MALE
Ajay Nishad,BJP,666878,Bihar,MALE
PRATHAP SIMHA,BJP,688974,Karnataka,MALE
RAMESH CHANDRA MAJHI,BJD,392504,Odisha,MALE
Tokheho Yepthomi,NDPP,500510,Nagaland,MALE
SELVARAJ M,CPI(M),522892,Tamil Nadu,MALE
POTHUGANTI RAMULU,TRS,499672,Telangana,MALE
HANUMAN BENIWAL,RLTP,660051,Rajasthan,MALE
GIRISH CHANDRA,BSP,568378,Uttar Pradesh,MALE
NITIN JAIRAM GADKARI,BJP,660221,Maharashtra,MALE
Ajay Bhatt,BJP,772195,Uttarakhand,MALE
Kaushlendra Kumar,JD(U),540888,Bihar,MALE
UTTAM KUMAR REDDY NALAMADA,INC,526028,Telangana,MALE
CHINRAJ A.K.P,DMK,626293,Tamil Nadu,MALE
Prataprao Patil Chikhalikar,BJP,486806,Maharashtra,MALE
Dr. Heena Vijaykumar Gavit,BJP,639136,Maharashtra,FEMALE
POCHA . BRAHMANANDA REDDY,YSRCP,720888,Andhra Pradesh,MALE
LAVU SRI KRISHNA DEVARAYALU,YSRCP,745557,Andhra Pradesh,MALE
KANUMURU RAGHU RAMA KRISHNA RAJU,YSRCP,449234,Andhra Pradesh,MALE
Godse Hemant Tukaram,SHS,563599,Maharashtra,MALE
C. R. Patil,BJP,972739,Gujarat,MALE
Chandan Singh,LJP,495684,Bihar,MALE
Adala Prabhakara Reddy,YSRCP,683830,Andhra Pradesh,MALE
MEENAKASHI LEKHI,BJP,504206,NCT OF Delhi,FEMALE
"RAJA, A.",DMK,547832,Tamil Nadu,MALE
ARVIND DHARMAPURI,BJP,480584,Telangana,MALE
MANOJ TIWARI,BJP,787799,NCT OF Delhi,MALE
SHRIPAD YESSO NAIK,BJP,244844,Goa,MALE
HANS RAJ HANS,BJP,848663,NCT OF Delhi,MALE
Pradyut Bordoloi,INC,739724,Assam,MALE
MAGUNTA SREENIVASULU REDDY,YSRCP,739202,Andhra Pradesh,MALE
Omprakash Bhupalsinh Alias Pawan Rajenimbalkar,SHS,596640,Maharashtra,MALE
Lorho S. Pfoze,NPF,363527,Manipur,MALE
V K SREEKANDAN,INC,399274,Kerala,MALE
VISHNU DAYAL RAM,BJP,755659,Jharkhand,MALE
Rajendra Dhedya Gavit,SHS,580479,Maharashtra,MALE
P. P. CHAUDHARY,BJP,900149,Rajasthan,MALE
Ratansinh Magansinh Rathod,BJP,732136,Gujarat,MALE
JADHAV SANJAY (BANDU) HARIBHAU,SHS,538941,Maharashtra,MALE
DR. SANJAY JAISWAL,BJP,603706,Bihar,MALE
RAM KRIPAL YADAV,BJP,509557,Bihar,MALE
DABHI BHARATSINHJI SHANKARJI,BJP,633368,Gujarat,MALE
ANTO ANTONY,INC,380927,Kerala,MALE
Preneet Kaur,INC,532027,Punjab,FEMALE
RAVI SHANKAR PRASAD,BJP,607506,Bihar,MALE
Venkatesh Netha Borlakunta,TRS,441321,Telangana,MALE
"Dr.PAARIVENDHAR, T. R",DMK,683697,Tamil Nadu,MALE
Keshari Devi Patel,BJP,544701,Uttar Pradesh,FEMALE
Feroze Varun Gandhi,BJP,704549,Uttar Pradesh,MALE
SHANMUGA SUNDARAM. K,DMK,554230,Tamil Nadu,MALE
E. T. Mohammed Basheer,IUML,521824,Kerala,MALE
RAMESHBHAI LAVJIBHAI DHADUK,BJP,563881,Gujarat,MALE
SANGAM LAL GUPTA,BJP,436291,Uttar Pradesh,MALE
Ve. VAITHILINGAM,INC,444981,Puducherry,MALE
Girish Bhalchandra Bapat,BJP,632835,Maharashtra,MALE
PINAKI MISRA,BJD,538321,Odisha,MALE
SANTOSH KUMAR,JD(U),632924,Bihar,MALE
JYOTIRMAY SINGH MAHATO,BJP,668107,West Bengal,MALE
RADHA MOHAN SINGH,BJP,577787,Bihar,MALE
SONIA GANDHI,INC,534918,Uttar Pradesh,FEMALE
RAJA AMARESHWARA NAIK,BJP,598337,Karnataka,MALE
Tatkare Sunil Dattatray,NCP,486968,Maharashtra,MALE
DEBASREE CHAUDHURI,BJP,511652,West Bengal,FEMALE
